"additive_id","alias"
1,"acetic acid ammonium salt"
1,"acetic acid, ammonium salt"
1,"Ammonium Acetate"
1,"InChI=1S/C2H4O2.H3N/c1-2(3)4;/h1H3,(H,3,4);1H3"
1,"USFZMSVCRYTOJT-UHFFFAOYSA-N"
1,"631-61-8"
1,"C2H4O2H3N"
1,"C2H7NO2"
2,"Ammonium Formate"
2,"CH5NO2"
2,"formic acid ammonium salt"
2,"formic acid, ammonium salt"
2,"HCOONH4"
3,"ammonium aqueous"
3,"Ammonium Hydroxide"
3,"ammonium hydroxide solution"
3,"H5NO"
3,"NH4OH"
4,"aminic acid"
4,"CH2O2"
4,"Formic Acid"
4,"formylic acid"
4,"HCOOH"
4,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)"
4,"BDAGIHXWWSANSR-UHFFFAOYSA-N"
4,"64-18-6"
4,"methanoic acid"
5,"Acetic Acid"
5,"acetic acid, glacial"
5,"C2H4O2"
5,"CH3COOH"
5,"ethanoic acid"
5,"ethylic acid"
5,"glacial acetic acid"
5,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
5,"QTBSBXVTEAMEQO-UHFFFAOYSA-N"
5,"64-19-7"
6,"C2HF3O2"
6,"CF3COOH"
6,"perfluoroacetic acid"
6,"Trifluoroacetic Acid"
6,"trifluoroethanoic acid"
6,"InChI=1S/C2HF3O2/c3-2(4,5)1(6)7/h(H,6,7)"
6,"DTQVDTLACAAQTR-UHFFFAOYSA-N"
6,"76-05-1"
