"solvent_id","alias"
1,"Acetonitrile"
1,"ACN"
1,"C2H3N"
1,"CH3CN"
1,"cyanomethane"
1,"methyl cyanide"
1,"InChI=1S/C2H3N/c1-2-3/h1H3"
1,"WEVYAHXRMPXWCK-UHFFFAOYSA-N"
1,"75-05-8"
2,"CH3OH"
2,"MeOH"
2,"Methanol"
2,"MethOH"
2,"methyl alcohol"
2,"InChI=1S/CH4O/c1-2/h2H,1H3"
2,"OKKJLVBELUTLKV-UHFFFAOYSA-N"
2,"67-56-1"
2,"CH4O"
3,"H2O"
3,"Water"
3,"InChI=1S/H2O/h1H2"
3,"XLYOFNOQVPJJNP-UHFFFAOYSA-N"
3,"7732-18-5"
4,"C3H8O"
4,"iso"
4,"IsoOH"
4,"Isopropanol"
4,"Isopropyl Alcohol"
4,"rubbing alcohol"
4,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
4,"KFZMGEQAYNKOFK-UHFFFAOYSA-N"
4,"67-63-0"
5,"Propan-1-ol"
5,"propanol"
5,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
5,"BDERNNFJNOPAEC-UHFFFAOYSA-N"
5,"71-23-8"
5,"1-propanol"
6,"He"
6,"helium"
6,"InChI=1S/He"
6,"SWQJXJOGLNCZEY-UHFFFAOYSA-N"
7,"H2"
7,"hydrogen"
7,"InChI=1S/H2/h1H"
7,"UFHFLCQGNIYNRP-UHFFFAOYSA-N"
7,"1333-74-0"
8,"ethanol"
8,"EtOh"
8,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
8,"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"
8,"64-17-5"
9,"DCM"
9,"dichloromethane"
9,"MeCl"
9,"Methylene Chloride"
9,"CH2CL2"
9,"InChI=1S/CH2Cl2/c2-1-3/h1H2"
9,"YMWUJEATGCHHMB-UHFFFAOYSA-N"
9,"75-09-2"
10,"Chloroform"
10,"trichloromethane"
10,"CHCL3"
10,"InChI=1S/CHCl3/c2-1(3)4/h1H"
10,"HEDRZPFGACZZDS-UHFFFAOYSA-N"
10,"67-66-3"
11,"C6H14"
11,"hexane"
11,"n-hexane"
11,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
11,"VLKZOEOYAKHREP-UHFFFAOYSA-N"
11,"110-54-3"
