"id","level1","level2","confidence","import_text"
1,,,"Not assigned","None"
2,1,"a","Confirmed by reference standard","Level 1a - Confirmed by reference standard"
3,1,"b","Indistinguishable from reference standard","Level 1b - Indistinguishable from reference standard"
4,2,"a","Probable by library spectrum match","Level 2a - Probable by library spectrum match"
5,2,"b","Probable by diagnostic fragmentation evidence","Level 2b - Probable by diagnostic fragmentation evidence"
6,2,"c","Probable by diagnostic homologue evidence","Level 2c - Probable by diagnostic homologue evidence"
7,3,"a","Positional isomer candidates","Level 3a - Positional isomer candidates"
8,3,"b","Fragmentation-based candidate","Level 3b - Fragmentation-based candidate"
9,3,"c","Circumstantial candidate based on fragmentation","Level 3c - Circumstantial candidate based on fragmentation"
10,3,"d","Circumstantial candidate based on homologues","Level 3d - Circumstantial candidate based on homologues"
11,4,,"Unequivocal molecular formula","Level 4 - Unequivocal molecular formula"
12,5,"a","PFAS suspect screening exact mass match","Level 5a - PFAS suspect screening exact mass match"
13,5,"b","Nontarget PFAS exact mass of interest","Level 5b - Nontarget PFAS exact mass of interest"
14,,,"Non-PFAS Related Feature",
